무선통신기_SN	타이어 위치	SENSOR_ID
9561011200000011	1	4553323A
9561011200000011	2	45531A3F
9561011200000011	3	45523413
9561011200000011	4	45521E14
9561011200000012	1	4553313D
9561011200000012	2	4553393D
9561011200000012	3	45530831
9561011200000012	4	45523F15
9561011200000013	1	45521F0B
9561011200000013	2	4552350F
9561011200000013	3	45523C15
9561011200000013	4	4552190F
9561011200000014	1	45531B3B
9561011200000014	2	45533734
9561011200000014	3	45531037
9561011200000014	4	45523615
9561011200000015	1	45522316
9561011200000015	2	45532B42
9561011200000015	3	45522310
9561011200000015	4	45533D39
9561011200000016	1	45532C3E
9561011200000016	2	4553253F
9561011200000016	3	45522412
9561011200000016	4	4553203A
9561011200000017	1	45523215
9561011200000017	2	45533B3B
9561011200000017	3	45532F41
9561011200000017	4	45524113
9561011200000018	1	4552250A
9561011200000018	2	45522510
9561011200000018	3	45530634
9561011200000018	4	45531E41
9561011200000019	1	45531F44
9561011200000019	2	45522114
9561011200000019	3	45522813
9561011200000019	4	45533032
9561011200000020	1	45532F36
9561011200000020	2	45522110
9561011200000020	3	45542934
9561011200000020	4	45540E3C
9561011200000021	1	45531A41
9561011200000021	2	45590721
9561011200000021	3	45531634
9561011200000021	4	45531737
9561011200000022	1	45521D16
9561011200000022	2	45531F3A
9561011200000022	3	4553153E
9561011200000022	4	45523E13
9561011200000023	1	45523810
9561011200000023	2	45531741
9561011200000023	3	45530533
9561011200000023	4	45523C12
9561011200000024	1	45521A13
9561011200000024	2	45532136
9561011200000024	3	4552350D
9561011200000024	4	45531A42
9561011200000025	1	45532432
9561011200000025	2	4544240C
9561011200000025	3	45441811
9561011200000025	4	45442A13
9561011200000031	1	4554072E
9561011200000031	2	45542B1D
9561011200000031	3	45541A2F
9561011200000031	4	45541B2A
9561011200000032	1	45522C40
9561011200000032	2	4546212E
9561011200000032	3	45540F2F
9561011200000032	4	454F4134
9561011200000033	1	454F4130
9561011200000033	2	454E0225
9561011200000033	3	454F2D3C
9561011200000033	4	4554342A
9561011200000034	1	45542E2E
9561011200000034	2	45540A1F
9561011200000034	3	4554331F
9561011200000034	4	45541327
9561011200000035	1	454F3832
9561011200000035	2	454F303B
9561011200000035	3	45441910
9561011200000035	4	45543326
9561011200000036	1	454F1D32
9561011200000036	2	45541F2A
9561011200000036	3	45593010
9561011200000036	4	4551170C
9561011200000037	1	4554212A
9561011200000037	2	45461930
9561011200000037	3	45543B27
9561011200000037	4	454F2A39
9561011200000038	1	45442E0E
9561011200000038	2	45441712
9561011200000038	3	4554362D
9561011200000038	4	45510F28
9561011200000039	1	4554071C
9561011200000039	2	454F3233
9561011200000039	3	45442612
9561011200000039	4	454F2635
9561011200000040	1	45443112
9561011200000040	2	45542929
9561011200000040	3	45461A30
9561011200000040	4	45511039
9561011200000041	1	4554361C
9561011200000041	2	45442811
9561011200000041	3	45443A13
9561011200000041	4	45540B23
9561011200000042	1	45463530
9561011200000042	2	45523334
9561011200000042	3	45540F27
9561011200000042	4	4554152F
9561011200000043	1	45443811
9561011200000043	2	45540D1E
9561011200000043	3	45542227
9561011200000043	4	45522643
9561011200000044	1	454B3F27
9561011200000044	2	45510620
9561011200000044	3	454F2B37
9561011200000044	4	4554291D
9561011200000045	1	45441C0D
9561011200000045	2	454B142D
9561011200000045	3	45541E29
9561011200000045	4	45521533
